value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
2,18,218,BN05,PCH2,19.62
23,17,216,BN04,PL05,19.44
7,13,213,MT08,MT02,19.17
23,9,211,MT04,PL05,18.99
30,25,208,PL07,DX01,18.72
34,9,208,MT04,SV03,18.72
6,4,207,PCH4,MT01,18.63
23,28,205,PL10,PL05,18.45
25,24,201,PL06,PL07,18.09
12,25,196,PL07,MT07,17.64
18,34,195,SV03,BN05,17.55
22,32,195,SV01,PL04,17.55
18,20,191,PL02,BN05,17.19
25,21,190,PL03,PL07,17.1
30,1,189,PCH1,DX01,17.01
3,8,187,MT03,PCH3,16.83
32,26,187,PL08,SV01,16.83
4,1,184,PCH1,PCH4,16.56
12,33,184,SV02,MT07,16.56
22,4,183,PCH4,PL04,16.47
11,12,182,MT07,MT06,16.38
18,22,182,PL04,BN05,16.38
5,8,179,MT03,PCH5,16.11
8,4,179,PCH4,MT03,16.11
6,32,176,SV01,MT01,15.84
28,11,176,MT06,PL10,15.84
18,24,174,PL06,BN05,15.66
3,21,172,PL03,PCH3,15.48
14,16,170,BN03,BN01,15.3
30,27,168,PL09,DX01,15.12
4,26,167,PL08,PCH4,15.03
22,18,167,BN05,PL04,15.03
29,8,165,MT03,PL11,14.85
8,12,162,MT07,MT03,14.58
25,30,162,DX01,PL07,14.58
12,21,161,PL03,MT07,14.49
13,33,161,SV02,MT08,14.49
18,32,161,SV01,BN05,14.49
6,22,160,PL04,MT01,14.4
31,33,160,SV02,DX02,14.4
3,23,156,PL05,PCH3,14.04
8,9,153,MT04,MT03,13.77
28,1,151,PCH1,PL10,13.59
28,25,149,PL07,PL10,13.41
27,4,147,PCH4,PL09,13.23
32,28,146,PL10,SV01,13.14
18,1,145,PCH1,BN05,13.05
34,18,145,BN05,SV03,13.05
1,18,143,BN05,PCH1,12.87
6,9,141,MT04,MT01,12.69
27,11,140,MT06,PL09,12.6
