value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
29,11,297,MT06,PL11,26.73
3,25,293,PL07,PCH3,26.37
23,2,293,PCH2,PL05,26.37
27,17,292,BN04,PL09,26.28
6,24,291,PL06,MT01,26.19
18,23,289,PL05,BN05,26.01
11,1,286,PCH1,MT06,25.74
12,26,286,PL08,MT07,25.74
28,22,284,PL04,PL10,25.56
6,3,283,PCH3,MT01,25.47
13,16,283,BN03,MT08,25.47
26,34,283,SV03,PL08,25.47
27,23,283,PL05,PL09,25.47
7,18,277,BN05,MT02,24.93
27,2,277,PCH2,PL09,24.93
9,5,276,PCH5,MT04,24.84
29,32,275,SV01,PL11,24.75
7,27,271,PL09,MT02,24.39
27,6,271,MT01,PL09,24.39
27,20,269,PL02,PL09,24.21
22,25,268,PL07,PL04,24.12
6,27,267,PL09,MT01,24.03
17,32,265,SV01,BN04,23.85
27,7,264,MT02,PL09,23.76
29,25,264,PL07,PL11,23.76
26,5,261,PCH5,PL08,23.49
23,26,257,PL08,PL05,23.13
22,2,254,PCH2,PL04,22.86
4,30,252,DX01,PCH4,22.68
1,22,251,PL04,PCH1,22.59
8,8,251,MT03,MT03,22.59
8,29,244,PL11,MT03,21.96
22,1,242,PCH1,PL04,21.78
20,25,240,PL07,PL02,21.6
24,22,239,PL04,PL06,21.51
3,30,236,DX01,PCH3,21.24
4,33,233,SV02,PCH4,20.97
21,4,233,PCH4,PL03,20.97
1,25,232,PL07,PCH1,20.88
2,27,232,PL09,PCH2,20.88
3,22,228,PL04,PCH3,20.52
1,9,225,MT04,PCH1,20.25
12,17,225,BN04,MT07,20.25
25,34,223,SV03,PL07,20.07
3,26,222,PL08,PCH3,19.98
13,23,222,PL05,MT08,19.98
26,7,220,MT02,PL08,19.8
25,33,219,SV02,PL07,19.71
25,7,215,MT02,PL07,19.35
1,17,213,BN04,PCH1,19.17
21,3,213,PCH3,PL03,19.17
27,24,211,PL06,PL09,18.99
32,18,211,BN05,SV01,18.99
3,27,210,PL09,PCH3,18.9
3,18,209,BN05,PCH3,18.81
11,24,208,PL06,MT06,18.72
27,26,207,PL08,PL09,18.63
32,22,205,PL04,SV01,18.45
13,6,204,MT01,MT08,18.36
28,17,203,BN04,PL10,18.27
12,5,201,PCH5,MT07,18.09
29,1,201,PCH1,PL11,18.09
23,33,195,SV02,PL05,17.55
28,23,194,PL05,PL10,17.46
4,6,193,MT01,PCH4,17.37
5,18,193,BN05,PCH5,17.37
23,21,193,PL03,PL05,17.37
6,26,191,PL08,MT01,17.19
26,30,191,DX01,PL08,17.19
11,27,187,PL09,MT06,16.83
6,23,186,PL05,MT01,16.74
18,30,186,DX01,BN05,16.74
29,22,185,PL04,PL11,16.65
19,13,182,MT08,PL01,16.38
17,8,177,MT03,BN04,15.93
4,16,173,BN03,PCH4,15.57
25,27,173,PL09,PL07,15.57
2,12,171,MT07,PCH2,15.39
6,30,171,DX01,MT01,15.39
20,1,171,PCH1,PL02,15.39
21,25,171,PL07,PL03,15.39
9,21,170,PL03,MT04,15.3
21,11,170,MT06,PL03,15.3
28,20,170,PL02,PL10,15.3
3,11,169,MT06,PCH3,15.21
27,30,167,DX01,PL09,15.03
14,7,163,MT02,BN01,14.67
11,22,160,PL04,MT06,14.4
11,25,158,PL07,MT06,14.22
28,21,158,PL03,PL10,14.22
23,24,157,PL06,PL05,14.13
9,33,156,SV02,MT04,14.04
27,22,155,PL04,PL09,13.95
20,11,154,MT06,PL02,13.86
30,26,148,PL08,DX01,13.32
2,22,146,PL04,PCH2,13.14
24,3,145,PCH3,PL06,13.05
3,34,144,SV03,PCH3,12.96
29,3,141,PCH3,PL11,12.69
9,29,140,PL11,MT04,12.6
28,24,138,PL06,PL10,12.42
3,1,136,PCH1,PCH3,12.24
12,23,136,PL05,MT07,12.24
3,9,134,MT04,PCH3,12.06
7,32,133,SV01,MT02,11.97
19,18,133,BN05,PL01,11.97
21,1,133,PCH1,PL03,11.97
1,27,131,PL09,PCH1,11.79
6,20,131,PL02,MT01,11.79
4,1,130,PCH1,PCH4,11.7
8,17,130,BN04,MT03,11.7
4,3,129,PCH3,PCH4,11.61
8,30,129,DX01,MT03,11.61
34,27,129,PL09,SV03,11.61
30,16,128,BN03,DX01,11.52
34,3,128,PCH3,SV03,11.52
3,8,126,MT03,PCH3,11.34
21,32,126,SV01,PL03,11.34
12,24,125,PL06,MT07,11.25
9,2,124,PCH2,MT04,11.16
33,8,124,MT03,SV02,11.16
30,29,122,PL11,DX01,10.98
30,21,121,PL03,DX01,10.89
12,30,120,DX01,MT07,10.8
5,8,118,MT03,PCH5,10.62
13,13,118,MT08,MT08,10.62
23,34,117,SV03,PL05,10.53
25,26,117,PL08,PL07,10.53
4,23,116,PL05,PCH4,10.44
1,20,115,PL02,PCH1,10.35
18,27,114,PL09,BN05,10.26
31,5,114,PCH5,DX02,10.26
30,34,113,SV03,DX01,10.17
32,27,113,PL09,SV01,10.17
26,27,111,PL09,PL08,9.99
4,2,110,PCH2,PCH4,9.9
18,22,109,PL04,BN05,9.81
20,32,108,SV01,PL02,9.72
6,1,105,PCH1,MT01,9.45
13,20,105,PL02,MT08,9.45
34,30,105,DX01,SV03,9.45
6,11,102,MT06,MT01,9.18
34,21,102,PL03,SV03,9.18
8,25,100,PL07,MT03,9
18,4,100,PCH4,BN05,9
20,9,99,MT04,PL02,8.91
8,4,97,PCH4,MT03,8.73
30,23,97,PL05,DX01,8.73
3,21,95,PL03,PCH3,8.55
8,3,93,PCH3,MT03,8.37
25,24,93,PL06,PL07,8.37
32,21,93,PL03,SV01,8.37
21,9,92,MT04,PL03,8.28
6,18,91,BN05,MT01,8.19
32,24,91,PL06,SV01,8.19
3,12,90,MT07,PCH3,8.1
17,13,90,MT08,BN04,8.1
23,20,90,PL02,PL05,8.1
18,32,89,SV01,BN05,8.01
6,21,87,PL03,MT01,7.83
14,16,87,BN03,BN01,7.83
27,34,86,SV03,PL09,7.74
2,18,85,BN05,PCH2,7.65
12,2,85,PCH2,MT07,7.65
